Loaded 116 unique ZIP entries.
HTTP Server failed: [Errno 48] Address already in use
[15:07:11] MANUAL SEQUENTIAL BURST MODE ACTIVE
[15:36:07] STAGING: Staging to SSD: 19%
[15:36:17] STAGING: Staging to SSD: 20%
[15:36:26] STAGING: Staging to SSD: 21%
[15:36:36] STAGING: Staging to SSD: 22%
[15:36:46] STAGING: Staging to SSD: 23%
[15:36:55] STAGING: Staging to SSD: 24%
[15:37:05] STAGING: Staging to SSD: 25%
[15:37:15] STAGING: Staging to SSD: 26%
[15:37:24] STAGING: Staging to SSD: 27%
[15:37:34] STAGING: Staging to SSD: 28%
[15:37:44] STAGING: Staging to SSD: 29%
[15:37:53] STAGING: Staging to SSD: 30%
[15:38:03] STAGING: Staging to SSD: 31%
[15:38:12] STAGING: Staging to SSD: 32%
[15:38:22] STAGING: Staging to SSD: 33%
[15:38:32] STAGING: Staging to SSD: 34%
[15:38:42] STAGING: Staging to SSD: 35%
[15:38:51] STAGING: Staging to SSD: 36%
[15:39:01] STAGING: Staging to SSD: 37%
[15:39:10] STAGING: Staging to SSD: 38%
[15:39:20] STAGING: Staging to SSD: 39%
[15:39:29] STAGING: Staging to SSD: 40%
[15:39:39] STAGING: Staging to SSD: 41%
[15:39:49] STAGING: Staging to SSD: 42%
[15:39:59] STAGING: Staging to SSD: 43%
[15:40:08] STAGING: Staging to SSD: 44%
[15:40:18] STAGING: Staging to SSD: 45%
[15:40:27] STAGING: Staging to SSD: 46%
[15:40:37] STAGING: Staging to SSD: 47%
[15:40:47] STAGING: Staging to SSD: 48%
[15:40:56] STAGING: Staging to SSD: 49%
[15:41:06] STAGING: Staging to SSD: 50%
[15:41:15] STAGING: Staging to SSD: 51%
[15:41:25] STAGING: Staging to SSD: 52%
[15:41:34] STAGING: Staging to SSD: 53%
[15:41:44] STAGING: Staging to SSD: 54%
[15:41:53] STAGING: Staging to SSD: 55%
[15:42:03] STAGING: Staging to SSD: 56%
[15:42:12] STAGING: Staging to SSD: 57%
[15:42:22] STAGING: Staging to SSD: 58%
[15:42:32] STAGING: Staging to SSD: 59%
[15:42:41] STAGING: Staging to SSD: 60%
[15:42:50] STAGING: Staging to SSD: 61%
[15:43:00] STAGING: Staging to SSD: 62%
[15:43:09] STAGING: Staging to SSD: 63%
[15:43:19] STAGING: Staging to SSD: 64%
[15:43:29] STAGING: Staging to SSD: 65%
[15:43:38] STAGING: Staging to SSD: 66%
[15:43:48] STAGING: Staging to SSD: 67%
[15:43:57] STAGING: Staging to SSD: 68%
